,$\tilde{\beta}$,$\theta$,$\tilde{\alpha}$
0,6.439062118530273,6.132226943969727,2.951840400695801
1,9.26990795135498,8.11294937133789,2.4727680683135986
2,10.297914505004883,7.066050052642822,1.4210058450698853
3,7.897642612457275,5.932787895202637,2.0796422958374023
4,6.24179744720459,5.593430519104004,1.9630239009857178
5,7.9867472648620605,8.401666641235352,2.0633411407470703
6,8.46985149383545,6.775284290313721,2.276670455932617
7,6.777839183807373,6.187560558319092,2.7539632320404053
8,8.034509658813477,6.98254919052124,3.1250951290130615
9,8.928022384643555,6.063991069793701,1.9849445819854736
10,8.200867652893066,9.402251243591309,2.856778621673584
11,11.826430320739746,7.288975715637207,3.007277250289917
12,6.09446907043457,4.038780212402344,2.211625099182129
13,9.633318901062012,5.193007946014404,1.9957975149154663
14,6.279366970062256,6.218265533447266,1.9860031604766846
15,7.637385368347168,7.662790775299072,1.9120216369628906
16,6.042680263519287,8.021130561828613,2.4690043926239014
17,8.282645225524902,7.1187639236450195,2.665771484375
18,6.795003890991211,7.07277774810791,1.7424416542053223
19,6.434638500213623,5.751779556274414,2.3454835414886475
20,7.830310821533203,8.362259864807129,2.3899359703063965
21,4.974382400512695,7.368746280670166,3.8742635250091553
22,5.489684581756592,6.278470993041992,2.6291816234588623
23,8.48416519165039,7.8505706787109375,2.0582101345062256
24,6.162941932678223,8.847641944885254,2.3670718669891357
25,6.296156406402588,6.707014560699463,1.5330196619033813
26,6.473474502563477,8.23115348815918,1.8862965106964111
27,9.873635292053223,7.318419933319092,1.8384838104248047
28,7.387759685516357,9.389261245727539,2.557485342025757
29,7.796319961547852,6.241409778594971,2.667637586593628
30,8.893060684204102,7.201716899871826,1.8652089834213257
31,6.978556156158447,6.5639495849609375,2.045860528945923
32,5.853964805603027,6.297421932220459,2.0265145301818848
33,9.115073204040527,7.729279041290283,2.6322879791259766
34,10.681442260742188,7.404879093170166,2.4591917991638184
35,7.698598384857178,6.287713050842285,1.9712618589401245
36,10.074263572692871,7.878890037536621,2.5875608921051025
37,7.428908824920654,5.746410846710205,2.412470817565918
38,7.8742218017578125,6.832892417907715,2.8761847019195557
39,4.3672285079956055,7.153773784637451,2.384212017059326
40,6.914910793304443,5.716592311859131,2.5129826068878174
41,5.829885482788086,5.588784694671631,2.531073808670044
42,6.514984130859375,6.182645320892334,2.122403860092163
43,6.898833751678467,6.893461227416992,2.3647775650024414
44,6.81217622756958,5.3857550621032715,3.141688823699951
45,8.72575569152832,7.6825032234191895,2.5281624794006348
46,7.451364040374756,7.1912522315979,2.2659785747528076
47,6.373993873596191,6.568384647369385,2.0045289993286133
48,9.975666046142578,8.405195236206055,2.4934356212615967
49,6.558509826660156,6.266636371612549,2.2795512676239014
50,6.6420392990112305,6.374377727508545,2.564534902572632
51,7.265624046325684,11.739990234375,1.9210437536239624
52,6.060302734375,6.850432395935059,2.365515947341919
53,5.362648010253906,7.928315162658691,2.122425079345703
54,9.089656829833984,6.402373790740967,1.8550993204116821
55,7.290372371673584,7.81205940246582,2.0686159133911133
56,8.85483169555664,10.459306716918945,2.1979238986968994
57,6.78119421005249,7.894367218017578,3.7345449924468994
58,5.609786510467529,5.40178918838501,2.361619710922241
59,10.044736862182617,7.890979766845703,2.8058345317840576
60,7.3498430252075195,5.419963836669922,2.0872020721435547
61,7.852356433868408,7.185079097747803,2.283736228942871
62,8.266799926757812,5.633969306945801,2.1544113159179688
63,6.531985759735107,7.548041820526123,1.994998812675476
64,10.470976829528809,7.8644914627075195,1.790614128112793
65,8.719169616699219,6.244271278381348,2.416687488555908
66,8.209782600402832,5.3431901931762695,2.084852933883667
67,6.452090740203857,8.891339302062988,2.3030152320861816
68,9.73738956451416,7.878779411315918,1.9366871118545532
69,6.102346420288086,9.073834419250488,1.9366990327835083
70,5.676506519317627,6.038565158843994,2.2871201038360596
71,7.148783206939697,8.032268524169922,2.7722833156585693
72,6.706935882568359,6.785522937774658,1.919530987739563
73,7.020754337310791,10.59738826751709,2.3020787239074707
74,6.026418685913086,6.173111915588379,1.969313144683838
75,8.359308242797852,8.476370811462402,1.9728528261184692
76,7.147604942321777,10.029041290283203,1.8655991554260254
77,6.103553771972656,8.293292045593262,2.392136812210083
78,6.701117038726807,7.350268840789795,2.5057334899902344
79,7.884854793548584,5.789522647857666,2.338390588760376
80,7.168021202087402,8.703071594238281,2.434743642807007
81,7.3862738609313965,6.135679244995117,2.110891342163086
