,$\tilde{\beta}$,$\theta$,$\tilde{\alpha}$
0,4.190590858459473,6.867680072784424,1.6365617513656616
1,6.787811756134033,7.151424884796143,1.7857208251953125
2,6.650293827056885,8.28296184539795,1.2588846683502197
3,6.258536338806152,11.598073959350586,2.2896504402160645
4,4.357781887054443,6.06407356262207,1.8289598226547241
5,5.633184909820557,7.581333637237549,1.7208027839660645
6,6.571630477905273,9.842476844787598,1.7142325639724731
7,5.4662184715271,10.169273376464844,1.5024570226669312
8,6.81855583190918,7.407619476318359,1.6126261949539185
9,7.75404167175293,6.481908321380615,1.7724417448043823
10,6.390462398529053,6.19317102432251,1.591491460800171
11,6.094529151916504,7.15880823135376,1.4872523546218872
12,5.896881103515625,9.67170238494873,1.4129319190979004
13,6.165154457092285,7.204395294189453,1.1243482828140259
14,5.2254204750061035,7.608395576477051,2.3940627574920654
15,6.255248546600342,13.484222412109375,2.109266996383667
16,5.14713191986084,9.042418479919434,1.9000661373138428
17,5.284128665924072,8.400178909301758,1.4591871500015259
18,4.23837947845459,7.907361030578613,1.7915117740631104
19,4.897902011871338,7.5508713722229,2.010118246078491
20,4.611300945281982,7.480896949768066,1.7507661581039429
21,7.584141254425049,7.573458671569824,1.25843346118927
22,5.73308801651001,9.621011734008789,1.6324626207351685
23,5.77325963973999,6.177488327026367,1.5798380374908447
24,5.573853969573975,6.618308067321777,1.361764669418335
25,5.661008358001709,8.484264373779297,1.5939455032348633
26,7.2319207191467285,9.952399253845215,1.5201339721679688
27,6.20103645324707,8.815980911254883,1.849735975265503
28,4.306144714355469,6.302881240844727,2.2759182453155518
29,6.813281059265137,9.03678035736084,1.3311549425125122
30,6.755720138549805,6.920900344848633,1.4435299634933472
31,4.715337753295898,8.014206886291504,1.7035269737243652
32,7.278961658477783,7.968235492706299,1.6479171514511108
33,4.406674861907959,7.610040664672852,1.2870622873306274
34,5.530505657196045,9.293526649475098,1.733280062675476
35,6.755641937255859,8.04552173614502,1.4014300107955933
36,5.447666168212891,6.645053386688232,1.565073013305664
37,4.513835906982422,8.016584396362305,1.6595940589904785
38,6.278453350067139,9.263326644897461,1.7565796375274658
39,6.789684295654297,8.326437950134277,1.6909172534942627
40,5.411275863647461,8.851632118225098,1.4153743982315063
41,3.484363079071045,10.249703407287598,1.9469548463821411
42,4.9907426834106445,6.501040935516357,1.6499154567718506
43,5.170352458953857,5.249640464782715,1.8023706674575806
44,6.485487937927246,7.3882622718811035,1.4848757982254028
45,5.195454120635986,9.609618186950684,1.7877190113067627
46,7.284313201904297,9.443862915039062,2.3132059574127197
47,5.288313865661621,7.674821376800537,1.6975950002670288
48,5.990403175354004,5.8957343101501465,1.519749402999878
49,5.516036033630371,7.674914836883545,1.7493029832839966
50,6.200346946716309,7.3017730712890625,1.7760484218597412
51,5.147891044616699,8.711030960083008,1.7326881885528564
52,7.753913879394531,6.809115409851074,1.63682222366333
53,5.6182942390441895,8.643603324890137,1.3868659734725952
54,5.331752777099609,6.9409661293029785,1.298094391822815
55,6.651951789855957,10.636114120483398,1.489547610282898
56,6.076303482055664,8.219557762145996,1.4030030965805054
57,4.5829901695251465,6.5262956619262695,1.6772693395614624
58,6.123307228088379,5.710785865783691,1.56194007396698
59,7.097233772277832,8.276790618896484,1.3390722274780273
60,5.4714155197143555,9.239516258239746,2.1680238246917725
61,4.118752479553223,6.657914638519287,1.6256308555603027
62,5.924750328063965,6.0473432540893555,1.4224536418914795
63,4.780736446380615,9.942011833190918,2.5392065048217773
64,6.434133052825928,7.549715518951416,1.6728179454803467
65,6.781208038330078,6.972704887390137,2.261882781982422
66,7.463756561279297,9.63935661315918,1.5280120372772217
67,5.8342084884643555,9.114151954650879,1.8563183546066284
68,6.0366902351379395,9.182869911193848,1.9756300449371338
69,7.863220691680908,7.545013427734375,1.4004498720169067
70,5.542646884918213,7.830481052398682,1.3547273874282837
71,6.552315711975098,6.74357795715332,1.505380392074585
72,5.591243267059326,4.926303386688232,1.5665714740753174
73,5.421113014221191,9.815010070800781,1.9392800331115723
74,5.023134708404541,6.425478458404541,1.5144866704940796
75,6.451788425445557,8.230996131896973,1.4502341747283936
76,7.486706733703613,10.25451946258545,1.7882276773452759
77,5.536979675292969,6.446114540100098,2.080604314804077
78,6.4103240966796875,8.175069808959961,1.3732447624206543
79,5.933791637420654,9.301864624023438,2.3563196659088135
80,5.472630977630615,6.90131139755249,1.579113483428955
81,5.021285057067871,7.416863918304443,1.8464902639389038
82,4.931459903717041,9.339838027954102,1.6449965238571167
83,5.318085670471191,8.489486694335938,1.6972814798355103
84,5.405909538269043,5.426512718200684,1.3516945838928223
85,6.07852029800415,6.7686944007873535,1.1856772899627686
86,4.095516204833984,8.173267364501953,1.7629202604293823
87,4.154983043670654,7.687043190002441,1.3179113864898682
88,7.709962844848633,9.940269470214844,1.1741650104522705
89,5.252579689025879,7.732003211975098,1.762073040008545
90,4.909971237182617,8.088191986083984,1.343956708908081
91,6.533873081207275,7.6889238357543945,1.3472124338150024
92,6.064035892486572,8.33870792388916,1.5303418636322021
93,4.831252098083496,6.689742565155029,1.4790842533111572
94,6.17387056350708,6.964685916900635,1.6307123899459839
95,6.430693626403809,6.480493545532227,2.1827847957611084
96,3.486254930496216,6.435100078582764,1.4971245527267456
97,5.834860324859619,9.800809860229492,1.3526654243469238
98,5.857807159423828,9.202123641967773,1.7702014446258545
99,6.238520622253418,10.76673698425293,1.4710936546325684
100,5.321388244628906,9.090883255004883,1.4736700057983398
101,5.160130500793457,7.041752815246582,1.2775287628173828
102,4.35178279876709,8.310029029846191,1.3168871402740479
103,5.323205947875977,9.638510704040527,1.7364963293075562
104,8.368165969848633,9.252226829528809,1.4815376996994019
105,4.405491352081299,6.4721550941467285,2.229771375656128
106,4.952401161193848,8.419057846069336,1.7792696952819824
107,5.349902153015137,7.494107246398926,1.9383602142333984
