,$\tilde{\beta}$,$\theta$,$k$
0,0.5886260867118835,-0.19724193215370178,-2.300845146179199
1,0.48340439796447754,-0.15362206101417542,-2.6717257499694824
2,0.5408023595809937,-0.16078916192054749,-2.821927070617676
3,0.5296541452407837,-0.12696094810962677,-2.5353546142578125
4,0.5774636268615723,-0.15040436387062073,-2.1732401847839355
5,0.504978358745575,-0.14062799513339996,-2.274437189102173
6,0.506106972694397,-0.12496079504489899,-2.629270076751709
7,0.5018928647041321,-0.15102212131023407,-2.507730484008789
8,0.5128250122070312,-0.06496695429086685,-2.5060858726501465
9,0.5224354863166809,-0.2818456292152405,-2.435570240020752
10,0.40505921840667725,-0.2237246036529541,-2.5103118419647217
11,0.5131101012229919,-0.10157305002212524,-2.4948341846466064
12,0.5985406637191772,-0.08625887334346771,-2.3509881496429443
13,0.5404781103134155,-0.20307105779647827,-2.2821037769317627
14,0.5743396282196045,-0.18804213404655457,-2.305530548095703
15,0.5232893228530884,-0.13294199109077454,-2.46341609954834
16,0.5038912892341614,-0.17962606251239777,-2.443613052368164
17,0.5223701000213623,-0.14726489782333374,-2.395409345626831
18,0.5259829759597778,-0.10354392230510712,-2.396846055984497
19,0.4586317539215088,-0.2350354790687561,-2.360656261444092
20,0.4476594030857086,-0.21613486111164093,-2.5988593101501465
21,0.5202680826187134,-0.1941753625869751,-2.558668613433838
22,0.5110737085342407,-0.1643606573343277,-2.5158960819244385
23,0.4546937644481659,-0.12160614877939224,-2.3989503383636475
24,0.5378404855728149,-0.15291441977024078,-2.4287259578704834
25,0.520835280418396,-0.2313462346792221,-2.544473886489868
26,0.528433620929718,-0.14338363707065582,-2.517796516418457
27,0.45398595929145813,-0.1402502804994583,-2.3531415462493896
28,0.4920161962509155,-0.1699039340019226,-2.600918769836426
29,0.6220833659172058,-0.22023029625415802,-2.4546985626220703
30,0.5090897679328918,-0.10589489340782166,-2.493006467819214
31,0.5248898863792419,-0.17234165966510773,-2.5844709873199463
32,0.5112064480781555,-0.18692758679389954,-2.2306668758392334
33,0.49394097924232483,-0.2045094072818756,-2.324188232421875
34,0.5530537962913513,-0.1991323083639145,-2.2077670097351074
35,0.5030827522277832,-0.13688308000564575,-2.650761365890503
36,0.5279455780982971,-0.13269652426242828,-2.453538179397583
37,0.42839735746383667,-0.16599109768867493,-2.6199116706848145
38,0.4631139636039734,-0.0627322793006897,-2.2079412937164307
39,0.36989903450012207,-0.08228802680969238,-2.342345714569092
40,0.44858187437057495,-0.13535729050636292,-2.3613576889038086
41,0.5275430679321289,-0.08931010961532593,-2.648338794708252
42,0.5040168762207031,-0.13127370178699493,-2.445305585861206
43,0.5245705842971802,-0.21731430292129517,-2.256605386734009
44,0.5733290314674377,-0.1197541356086731,-2.4935929775238037
45,0.4693640470504761,-0.19180268049240112,-2.5791053771972656
46,0.443997859954834,-0.1405138075351715,-2.7398641109466553
47,0.5445606708526611,-0.2901858687400818,-2.398348569869995
48,0.48325514793395996,-0.15111549198627472,-2.3427517414093018
49,0.5015263557434082,-0.16344404220581055,-2.5241217613220215
50,0.4662414789199829,-0.1755661815404892,-2.241558790206909
51,0.6355686187744141,-0.11387844383716583,-2.6452512741088867
52,0.5565564632415771,-0.17559731006622314,-2.4622440338134766
53,0.5382727980613708,-0.09249420464038849,-2.442375898361206
54,0.5252986550331116,-0.16032898426055908,-2.3093035221099854
55,0.5458614826202393,-0.05218597501516342,-2.4942970275878906
56,0.4216022491455078,-0.1931682825088501,-2.610353946685791
57,0.4121672809123993,-0.1149301677942276,-2.1962156295776367
58,0.5655646324157715,-0.10704463720321655,-2.358884334564209
59,0.5598539113998413,-0.11368304491043091,-2.657322406768799
60,0.3773682415485382,-0.1636320948600769,-2.400400400161743
61,0.5652034282684326,-0.20963440835475922,-2.477454662322998
62,0.4319033920764923,-0.1469862461090088,-2.455486297607422
63,0.43692705035209656,-0.1944960355758667,-2.4239535331726074
64,0.4361147880554199,-0.15078502893447876,-2.252809524536133
65,0.5649414658546448,-0.17631849646568298,-2.4762089252471924
66,0.6059863567352295,-0.20613953471183777,-2.635849952697754
67,0.49473604559898376,-0.2455310821533203,-2.3071792125701904
68,0.5664247274398804,-0.1823497861623764,-2.477208375930786
69,0.5966429710388184,-0.1643558293581009,-2.325514793395996
70,0.5149637460708618,-0.14744073152542114,-2.536362648010254
71,0.5068519115447998,-0.1130591630935669,-2.460114002227783
72,0.4792340099811554,-0.1534857302904129,-2.235868215560913
73,0.4661301374435425,-0.14082300662994385,-2.23214054107666
74,0.5876511931419373,-0.12577782571315765,-2.1794207096099854
75,0.4527881443500519,-0.17938731610774994,-2.395939350128174
76,0.5178804993629456,-0.20328637957572937,-2.2380154132843018
77,0.5002248883247375,-0.21034568548202515,-2.2336337566375732
78,0.5787087678909302,-0.16351556777954102,-2.4170539379119873
79,0.5041848421096802,-0.19062969088554382,-2.550828456878662
