,$\tilde{\beta}$,$\theta$,$k$
0,0.5207999348640442,-0.07945669442415237,-2.396911382675171
1,0.5113531351089478,-0.22410768270492554,-2.356330394744873
2,0.4871935546398163,-0.2279457449913025,-2.5075559616088867
3,0.5520472526550293,-0.18216900527477264,-2.596580743789673
4,0.5336734652519226,-0.24954429268836975,-2.374509811401367
5,0.5018661618232727,-0.17681798338890076,-2.463379383087158
6,0.5155506134033203,-0.22742196917533875,-2.2089662551879883
7,0.5728296041488647,-0.18210798501968384,-2.2773282527923584
8,0.49386417865753174,-0.16259054839611053,-2.1452958583831787
9,0.5617251396179199,-0.16696082055568695,-2.652338743209839
10,0.5710360407829285,-0.11914943158626556,-2.154407262802124
11,0.6418887376785278,-0.18555395305156708,-2.518805742263794
12,0.5538347959518433,-0.2126171886920929,-2.0826523303985596
13,0.48450106382369995,-0.2691991925239563,-2.61610746383667
14,0.5280159711837769,-0.1970042735338211,-2.6465182304382324
15,0.5161083936691284,-0.03751765191555023,-2.307950735092163
16,0.5767942070960999,-0.2220792919397354,-2.829218626022339
17,0.5608037710189819,-0.17087720334529877,-2.305016279220581
18,0.5780179500579834,-0.2796272039413452,-2.614272356033325
19,0.42516499757766724,-0.3384522795677185,-2.5707483291625977
20,0.631747841835022,-0.16689321398735046,-2.2307286262512207
21,0.5930598974227905,-0.24413001537322998,-2.498757839202881
22,0.5281344056129456,-0.18152470886707306,-2.409526824951172
23,0.5557637810707092,-0.29763561487197876,-2.172524929046631
24,0.556265115737915,-0.13522928953170776,-2.6626105308532715
25,0.5872375965118408,-0.18602144718170166,-2.1653780937194824
26,0.5174008011817932,-0.11705747246742249,-2.3210175037384033
27,0.5014472007751465,-0.21871693432331085,-2.5139894485473633
28,0.5500132441520691,-0.20617631077766418,-2.3526854515075684
29,0.5674490332603455,-0.23971500992774963,-2.441779136657715
30,0.6113565564155579,-0.16419455409049988,-2.2872469425201416
31,0.4998033046722412,-0.1589871644973755,-2.268721580505371
32,0.5162155032157898,-0.20465444028377533,-2.5624730587005615
33,0.5203779339790344,-0.1897203028202057,-2.4943699836730957
34,0.5894490480422974,-0.16946148872375488,-2.5129239559173584
35,0.5520069003105164,-0.17671239376068115,-2.673583745956421
36,0.5223954916000366,-0.0984388068318367,-2.360818386077881
37,0.5834673047065735,-0.15564793348312378,-2.337517738342285
38,0.5784382224082947,-0.23650547862052917,-2.3508265018463135
39,0.6263722777366638,-0.1793152242898941,-2.360320806503296
40,0.5709729790687561,-0.15669912099838257,-2.630580425262451
41,0.4719480872154236,-0.14692085981369019,-2.33697772026062
42,0.5920842289924622,-0.14413630962371826,-2.2023353576660156
43,0.5307547450065613,-0.2056647539138794,-2.5879130363464355
44,0.5130034685134888,-0.29051703214645386,-2.597255229949951
45,0.5804818272590637,-0.22611254453659058,-2.5689334869384766
46,0.5180299878120422,-0.20741896331310272,-2.2912752628326416
47,0.541416347026825,-0.1660337746143341,-2.578781843185425
48,0.5290005207061768,-0.16126346588134766,-2.5481481552124023
49,0.6102910041809082,-0.17075315117835999,-2.3607449531555176
50,0.5555837154388428,-0.2386169582605362,-2.2853729724884033
51,0.5357478260993958,-0.1902204304933548,-2.764571189880371
52,0.5009585618972778,-0.23155242204666138,-2.587191343307495
53,0.537134051322937,-0.2769007086753845,-2.384502649307251
54,0.5314979553222656,-0.24641826748847961,-2.370060443878174
55,0.5374619960784912,-0.10497009009122849,-2.273740530014038
56,0.5618137717247009,-0.2169279307126999,-2.553704261779785
57,0.5608664751052856,-0.13716232776641846,-2.7167670726776123
58,0.5315121412277222,-0.21435999870300293,-2.504366159439087
59,0.5745741128921509,-0.21423867344856262,-1.9553265571594238
60,0.5556772351264954,-0.14155273139476776,-2.5127241611480713
61,0.643500566482544,-0.10888241976499557,-2.3116328716278076
62,0.49962928891181946,-0.09117760509252548,-2.801694631576538
63,0.5611283183097839,-0.18817579746246338,-2.7216382026672363
64,0.5633862614631653,-0.2324182242155075,-2.486706018447876
65,0.5173100233078003,-0.2518170475959778,-2.335770606994629
66,0.5077526569366455,-0.22901029884815216,-2.3833072185516357
67,0.6121951341629028,-0.23498737812042236,-2.5224475860595703
68,0.528949499130249,-0.20572680234909058,-1.9451854228973389
69,0.6002336740493774,-0.2092578262090683,-2.4312524795532227
70,0.5292041301727295,-0.10706920921802521,-2.385300874710083
71,0.4903135597705841,-0.22897213697433472,-2.1722140312194824
72,0.6072079539299011,-0.08962152898311615,-2.3321104049682617
73,0.5304994583129883,-0.17504924535751343,-2.595031499862671
74,0.5488121509552002,-0.15218162536621094,-2.4022576808929443
75,0.46295061707496643,-0.23787811398506165,-2.767228364944458
76,0.4826873540878296,-0.17352375388145447,-2.5358681678771973
77,0.5029613375663757,-0.23438255488872528,-2.489325523376465
78,0.5750864744186401,-0.1584474891424179,-2.2014431953430176
79,0.5782580375671387,-0.15153023600578308,-2.3629708290100098
80,0.5502919554710388,-0.30831822752952576,-2.6021361351013184
81,0.551314651966095,-0.134701669216156,-2.1804301738739014
82,0.5723878145217896,-0.21241801977157593,-2.2366039752960205
83,0.592606782913208,-0.21895846724510193,-2.0264670848846436
84,0.5372279286384583,-0.1956608146429062,-2.317453145980835
85,0.5454489588737488,-0.15545834600925446,-2.3992691040039062
86,0.4710828363895416,-0.30098235607147217,-2.415637254714966
87,0.5212495923042297,-0.20739597082138062,-2.6128780841827393
88,0.5221378803253174,-0.24614036083221436,-2.3270606994628906
89,0.5201305150985718,-0.22673149406909943,-2.518584966659546
90,0.5167921781539917,-0.18802128732204437,-2.0803096294403076
91,0.5375588536262512,-0.0764797255396843,-2.201472759246826
92,0.5211095809936523,-0.2587026059627533,-2.3712210655212402
93,0.5658317804336548,-0.22874441742897034,-2.6320152282714844
94,0.633389949798584,-0.13997697830200195,-2.2211761474609375
95,0.5567992329597473,-0.1756352335214615,-2.2642245292663574
96,0.4699433445930481,-0.25614508986473083,-2.5614430904388428
97,0.4687541723251343,-0.22054700553417206,-2.369318962097168
98,0.5319023728370667,-0.21052208542823792,-2.4581832885742188
99,0.482062429189682,-0.20906972885131836,-2.5588417053222656
100,0.5366624593734741,-0.09569846838712692,-2.28312611579895
101,0.5281597971916199,-0.14818616211414337,-2.2934792041778564
102,0.5793327689170837,-0.15363560616970062,-2.4591946601867676
103,0.5522253513336182,-0.14122647047042847,-2.850362777709961
104,0.5599476099014282,-0.22583676874637604,-2.3702359199523926
105,0.5802176594734192,-0.18221743404865265,-2.309415578842163
106,0.4613560438156128,-0.22029465436935425,-2.5565688610076904
107,0.5927176475524902,-0.1894839107990265,-2.2705724239349365
108,0.478330135345459,-0.21582451462745667,-2.1785788536071777
109,0.5913422107696533,-0.19320493936538696,-2.2017860412597656
110,0.5362616777420044,-0.28424978256225586,-2.416339874267578
111,0.49741846323013306,-0.18294915556907654,-2.4080111980438232
112,0.45973238348960876,-0.23952090740203857,-2.6339075565338135
113,0.5148539543151855,-0.16791993379592896,-2.045809030532837
114,0.5999818444252014,-0.15928608179092407,-2.428011178970337
115,0.5706692934036255,-0.2377103567123413,-2.312634229660034
116,0.5584985017776489,-0.19254404306411743,-1.9378066062927246
117,0.5365250110626221,-0.2288208305835724,-2.341909408569336
