,subject,parameter,value,ID
91266,7,$\beta$,2.7329658882098076,01129
91267,8,$\beta$,3.226987636523601,01261
91268,9,$\beta$,1.9537364300001867,01268
91269,10,$\beta$,2.5966937749599044,01271
91270,11,$\beta$,1.2658389494283986,01272
91271,12,$\beta$,1.0802506325395262,01281
91272,13,$\beta$,3.081964436704405,01293
91273,14,$\beta$,1.5390015107617152,01323
91274,15,$\beta$,2.2318853353553743,01332
91275,16,$\beta$,2.057746598368718,01334
91276,17,$\beta$,2.3681579174628298,01335
91277,18,$\beta$,0.6796684445290312,01344
91278,19,$\beta$,3.0411653820612825,01351
91279,20,$\beta$,2.452084850289393,01354
91280,21,$\beta$,2.00169098678224,01355
91281,22,$\beta$,2.4702732288383515,01356
91282,23,$\beta$,2.151816994993104,01357
91283,24,$\beta$,2.413106224231003,01358
91284,25,$\beta$,2.410002593949676,01362
91285,26,$\beta$,1.6618117184312429,01379
91286,27,$\beta$,3.044102246447037,01390
91287,28,$\beta$,1.6257685530935868,01443
91288,29,$\beta$,2.0990107547797097,01449
91289,30,$\beta$,2.0253136895419974,01456
91290,31,$\beta$,1.9792866776819174,01457
91291,32,$\beta$,2.339571185507114,01460
91292,33,$\beta$,1.9922580784573343,01510
91293,34,$\beta$,2.3747671650120012,01549
91294,35,$\beta$,1.9859730715754098,01559
91295,36,$\beta$,2.548186852830584,01560
91296,37,$\beta$,1.8813943956147225,01614
91297,38,$\beta$,2.0656816956794444,01619
91298,39,$\beta$,2.570555941707247,01622
91299,40,$\beta$,1.2414530422066758,01630
91300,41,$\beta$,1.8393399221106075,01646
91301,42,$\beta$,1.4838982424443856,01647
91302,43,$\beta$,2.8110769524117423,01725
91303,44,$\beta$,1.6072203071629454,01840
91304,45,$\beta$,1.527881532436192,01861
91305,1,$\beta$,2.6162997170558153,00390
91306,2,$\beta$,1.7541956055813113,00513
91307,3,$\beta$,1.664336481132401,01101
91308,4,$\beta$,2.680734220030698,01102
91309,5,$\beta$,1.2860790069567642,01104
91310,6,$\beta$,1.7667916760272304,01118
91311,7,$\beta$,2.3015120224837093,01129
91312,8,$\beta$,2.3954135750939143,01261
91313,9,$\beta$,2.2734740717390896,01268
91314,10,$\beta$,2.7212283401793154,01271
91315,11,$\beta$,1.6864292201963722,01272
91316,12,$\beta$,0.9879316422691571,01281
91317,13,$\beta$,2.6274881997697555,01293
91318,14,$\beta$,1.254812906192645,01323
91319,15,$\beta$,2.369721846614155,01332
91320,16,$\beta$,1.8743593678882786,01334
91321,17,$\beta$,2.4100504289914553,01335
91322,18,$\beta$,0.84892649810063,01344
91323,19,$\beta$,2.8195460968451718,01351
91324,20,$\beta$,2.7468689188382878,01354
91325,21,$\beta$,2.2025799983413443,01355
91326,22,$\beta$,2.199380701250597,01356
91327,23,$\beta$,2.51833280534027,01357
91328,24,$\beta$,2.514830756766739,01358
91329,25,$\beta$,2.202310094978935,01362
91330,26,$\beta$,1.7473668518238845,01379
91331,27,$\beta$,3.0805278749414593,01390
91332,28,$\beta$,2.1451449751631273,01443
91333,29,$\beta$,2.13913029363025,01449
91334,30,$\beta$,1.8249506822722241,01456
91335,31,$\beta$,1.8741609627386706,01457
91336,32,$\beta$,2.8968747638428476,01460
91337,33,$\beta$,1.7986989725863671,01510
91338,34,$\beta$,2.3919192130429057,01549
91339,35,$\beta$,2.0560977226163235,01559
91340,36,$\beta$,2.0819376382877457,01560
91341,37,$\beta$,1.738766452048579,01614
91342,38,$\beta$,1.9695017039547802,01619
91343,39,$\beta$,2.0761489373279565,01622
91344,40,$\beta$,1.385362568701841,01630
91345,41,$\beta$,2.0930907440498703,01646
91346,42,$\beta$,1.4764508976407456,01647
91347,43,$\beta$,2.056638007100719,01725
91348,44,$\beta$,1.7031857123334513,01840
91349,45,$\beta$,1.4446019593571096,01861
91350,1,$\beta$,2.454566366413649,00390
91351,2,$\beta$,1.9684769085278164,00513
91352,3,$\beta$,1.6897843598323656,01101
91353,4,$\beta$,2.7801670210204716,01102
91354,5,$\beta$,1.3747390729226876,01104
91355,6,$\beta$,1.5375882086203232,01118
91356,7,$\beta$,2.5956503367674753,01129
91357,8,$\beta$,2.243088205428394,01261
91358,9,$\beta$,2.2567525961557497,01268
91359,10,$\beta$,2.660222978980679,01271
91360,11,$\beta$,1.4956168741641445,01272
91361,12,$\beta$,1.0763265383352525,01281
91362,13,$\beta$,2.7685844947780707,01293
91363,14,$\beta$,1.5234723885839419,01323
91364,15,$\beta$,2.5150407692623724,01332
91365,16,$\beta$,2.0794821670950063,01334
91366,17,$\beta$,1.6183521610552187,01335
