,$\tilde{\beta}$,$\theta$
0,7.0247979164123535,6.940056800842285
1,9.76191520690918,6.232662200927734
2,7.703070640563965,8.17221450805664
3,10.180498123168945,13.77846622467041
4,7.221841812133789,6.956131935119629
5,7.154097080230713,6.6411213874816895
6,7.025841236114502,6.990927219390869
7,8.796782493591309,6.696327209472656
8,5.678651809692383,7.19702672958374
9,9.197789192199707,7.673401832580566
10,8.074048042297363,8.497884750366211
11,8.13257884979248,6.284474849700928
12,7.852481842041016,6.098404407501221
13,8.734477043151855,7.715256690979004
14,7.2432861328125,5.817080020904541
15,6.47678279876709,6.255514144897461
16,6.335937976837158,7.702340126037598
17,9.594675064086914,7.910398483276367
18,6.338048934936523,7.7581095695495605
19,5.910308837890625,6.500341892242432
20,8.151270866394043,6.7082295417785645
21,8.66166877746582,8.878091812133789
22,8.582141876220703,8.097476959228516
23,7.474714279174805,7.069812297821045
24,7.800624370574951,7.8002705574035645
25,7.872117519378662,8.062243461608887
26,7.831444263458252,6.927406311035156
27,6.529295444488525,7.659745693206787
28,5.8316874504089355,8.198763847351074
29,5.823596954345703,6.102665424346924
30,6.1843156814575195,5.963953495025635
31,6.595124244689941,7.36506462097168
32,7.485912322998047,8.58325481414795
33,8.309585571289062,9.132172584533691
34,8.215041160583496,7.235138893127441
35,9.793510437011719,6.1001296043396
36,9.206029891967773,6.444418907165527
37,7.86576509475708,6.846432685852051
38,7.692638874053955,8.877509117126465
39,6.912235736846924,6.830988883972168
40,6.923651695251465,7.490629196166992
41,9.759239196777344,7.389750003814697
42,8.543375015258789,6.172625541687012
43,8.340157508850098,7.115899562835693
44,6.293647289276123,7.4871134757995605
45,7.439678192138672,5.3805012702941895
46,8.392685890197754,9.278191566467285
47,7.370064735412598,6.3874897956848145
48,8.886096000671387,9.102459907531738
49,6.40728235244751,6.0540595054626465
50,6.870369911193848,7.85697078704834
51,8.375045776367188,5.6060075759887695
52,8.109441757202148,5.650271892547607
53,9.189370155334473,8.619255065917969
54,6.879077434539795,8.69100570678711
55,8.298144340515137,6.987637996673584
56,8.318826675415039,9.067851066589355
57,7.738566875457764,6.667224884033203
58,7.777105331420898,7.645029544830322
59,7.247044086456299,7.809910297393799
60,9.826823234558105,7.7198662757873535
61,8.373539924621582,5.284908294677734
62,9.306549072265625,4.931353569030762
63,7.63134765625,8.239034652709961
64,6.316562652587891,6.7900848388671875
65,8.338077545166016,6.735065460205078
66,9.564363479614258,8.819214820861816
67,9.728286743164062,6.3522868156433105
68,6.790185928344727,8.305463790893555
69,7.949106693267822,6.53138542175293
70,5.698069095611572,6.454777240753174
71,6.545772075653076,5.006019592285156
72,8.00991439819336,5.744750499725342
73,7.323622703552246,7.903037071228027
74,5.72240686416626,6.295914173126221
75,6.2057576179504395,7.695592403411865
76,6.730381488800049,7.962703227996826
77,11.20943832397461,6.452113628387451
78,10.675312042236328,8.918240547180176
