,subject,parameter,value,ID
139,5,$\theta$,-0.47415152192115784,01469
140,6,$\theta$,-1.293631911277771,01482
141,7,$\theta$,-0.22720661759376526,01526
142,8,$\theta$,-0.564034104347229,01664
143,9,$\theta$,-0.4232877492904663,01758
144,10,$\theta$,-0.6201493144035339,01805
145,11,$\theta$,-0.018997758626937866,01807
146,12,$\theta$,-0.9856586456298828,01841
147,13,$\theta$,-0.25457531213760376,01876
148,14,$\theta$,-0.5336266160011292,01878
149,15,$\theta$,-0.30550524592399597,02137
150,16,$\theta$,-0.7579240798950195,02366
151,17,$\theta$,-0.003500610589981079,02427
152,18,$\theta$,-0.2815914452075958,02559
153,19,$\theta$,-0.33552825450897217,02571
154,20,$\theta$,-0.1454036682844162,02625
155,21,$\theta$,-0.20049887895584106,02628
156,22,$\theta$,0.003015577793121338,02629
157,23,$\theta$,0.28187471628189087,02654
158,24,$\theta$,-0.307156503200531,02656
159,25,$\theta$,-0.4345114827156067,02684
160,26,$\theta$,-0.2117471992969513,02719
161,27,$\theta$,-0.9415802359580994,02747
162,28,$\theta$,-0.6101680994033813,02750
163,29,$\theta$,0.09051407873630524,02796
164,30,$\theta$,-0.3849492371082306,02797
165,31,$\theta$,-0.4494675397872925,02820
166,32,$\theta$,-0.6800655722618103,02916
167,33,$\theta$,-0.8269515037536621,02935
168,34,$\theta$,0.023422792553901672,02948
169,35,$\theta$,-1.153701901435852,02965
170,36,$\theta$,-0.9837136268615723,03016
171,37,$\theta$,-0.1699295938014984,03028
172,38,$\theta$,-0.27657657861709595,03029
173,39,$\theta$,0.03973570838570595,03092
174,40,$\theta$,-0.1566324681043625,03257
175,41,$\theta$,-0.2964845895767212,03262
176,42,$\theta$,-0.17335177958011627,03362
177,43,$\theta$,-0.5665560960769653,03379
178,44,$\theta$,0.44266369938850403,03435
179,45,$\theta$,-0.10076028108596802,12647
180,1,$\theta$,-0.6722208857536316,00792
181,2,$\theta$,-0.5656243562698364,00882
182,3,$\theta$,-0.37093639373779297,01291
183,4,$\theta$,-0.5942959785461426,01366
184,5,$\theta$,-0.40214380621910095,01469
185,6,$\theta$,-1.1949310302734375,01482
186,7,$\theta$,-0.12208312749862671,01526
187,8,$\theta$,-0.6284792423248291,01664
188,9,$\theta$,-0.18202482163906097,01758
189,10,$\theta$,-0.5557319521903992,01805
190,11,$\theta$,0.2748032510280609,01807
191,12,$\theta$,-1.0879703760147095,01841
192,13,$\theta$,-0.5670502185821533,01876
193,14,$\theta$,-0.16956870257854462,01878
194,15,$\theta$,-0.35451585054397583,02137
195,16,$\theta$,-0.776351273059845,02366
196,17,$\theta$,-0.13754606246948242,02427
197,18,$\theta$,-0.8251227140426636,02559
198,19,$\theta$,-0.2648192346096039,02571
199,20,$\theta$,0.12896426022052765,02625
200,21,$\theta$,0.007694892585277557,02628
201,22,$\theta$,-0.1628285050392151,02629
202,23,$\theta$,0.12310530990362167,02654
203,24,$\theta$,0.12294137477874756,02656
204,25,$\theta$,-0.3995428681373596,02684
205,26,$\theta$,-0.10203158110380173,02719
206,27,$\theta$,-0.7329646348953247,02747
207,28,$\theta$,-0.5190286040306091,02750
208,29,$\theta$,0.13527806103229523,02796
209,30,$\theta$,-0.035515107214450836,02797
210,31,$\theta$,-0.15707021951675415,02820
211,32,$\theta$,-0.4977617859840393,02916
212,33,$\theta$,-0.12879657745361328,02935
213,34,$\theta$,-0.5116301774978638,02948
214,35,$\theta$,-0.9333649277687073,02965
215,36,$\theta$,-1.1396372318267822,03016
216,37,$\theta$,-0.26135292649269104,03028
217,38,$\theta$,-0.8242816925048828,03029
218,39,$\theta$,-0.09317756444215775,03092
219,40,$\theta$,-0.36452388763427734,03257
220,41,$\theta$,-0.4581013321876526,03262
221,42,$\theta$,-0.25301894545555115,03362
222,43,$\theta$,-0.43333184719085693,03379
223,44,$\theta$,0.3183303773403168,03435
224,45,$\theta$,-0.6468029022216797,12647
225,1,$\theta$,-0.6586387157440186,00792
226,2,$\theta$,-0.41771697998046875,00882
227,3,$\theta$,-0.1919463872909546,01291
228,4,$\theta$,-0.39409804344177246,01366
229,5,$\theta$,0.08505219221115112,01469
230,6,$\theta$,-1.4175461530685425,01482
231,7,$\theta$,-0.3607964515686035,01526
232,8,$\theta$,-0.9103321433067322,01664
233,9,$\theta$,-0.585115909576416,01758
234,10,$\theta$,-0.49989938735961914,01805
235,11,$\theta$,0.42637428641319275,01807
236,12,$\theta$,-1.1178227663040161,01841
237,13,$\theta$,-0.3213667571544647,01876
238,14,$\theta$,-0.27422666549682617,01878
239,15,$\theta$,-0.42838379740715027,02137
240,16,$\theta$,-0.7139235734939575,02366
241,17,$\theta$,-0.01629330962896347,02427
242,18,$\theta$,-0.9710067510604858,02559
243,19,$\theta$,-0.4795663356781006,02571
244,20,$\theta$,0.13703787326812744,02625
245,21,$\theta$,0.023824527859687805,02628
246,22,$\theta$,0.23750372231006622,02629
247,23,$\theta$,0.07048508524894714,02654
248,24,$\theta$,-0.033333320170640945,02656
249,25,$\theta$,-0.5265852808952332,02684
250,26,$\theta$,0.03350307047367096,02719
251,27,$\theta$,-0.7837562561035156,02747
252,28,$\theta$,-0.7141920924186707,02750
253,29,$\theta$,0.058753952383995056,02796
254,30,$\theta$,0.14529694616794586,02797
255,31,$\theta$,-0.47321969270706177,02820
256,32,$\theta$,-0.3927057385444641,02916
257,33,$\theta$,-0.4834362268447876,02935
258,34,$\theta$,0.11170788109302521,02948
259,35,$\theta$,-1.2728354930877686,02965
260,36,$\theta$,-0.8042332530021667,03016
261,37,$\theta$,-0.2139866054058075,03028
262,38,$\theta$,-0.6656571626663208,03029
263,39,$\theta$,-0.0493118055164814,03092
264,40,$\theta$,-0.23128291964530945,03257
265,41,$\theta$,-0.3929503560066223,03262
266,42,$\theta$,-0.3126998245716095,03362
267,43,$\theta$,-0.8310425281524658,03379
268,44,$\theta$,0.2894691824913025,03435
269,45,$\theta$,-0.12318035960197449,12647
270,1,$\theta$,-0.9116582870483398,00792
271,2,$\theta$,-0.3603549003601074,00882
272,3,$\theta$,0.047505736351013184,01291
273,4,$\theta$,-0.6226217746734619,01366
274,5,$\theta$,-0.031561851501464844,01469
275,6,$\theta$,-0.7642414569854736,01482
276,7,$\theta$,-0.2531757354736328,01526
277,8,$\theta$,-0.7867642641067505,01664
278,9,$\theta$,-0.4561871886253357,01758
279,10,$\theta$,-0.46893933415412903,01805
280,11,$\theta$,0.1813873052597046,01807
281,12,$\theta$,-0.9512022733688354,01841
282,13,$\theta$,-0.2458447515964508,01876
283,14,$\theta$,-0.5453917384147644,01878
284,15,$\theta$,-0.3245296776294708,02137
285,16,$\theta$,-0.8206320405006409,02366
286,17,$\theta$,0.16453762352466583,02427
287,18,$\theta$,-0.4118586778640747,02559
288,19,$\theta$,-0.42907312512397766,02571
289,20,$\theta$,0.1346346139907837,02625
290,21,$\theta$,-0.10695821046829224,02628
291,22,$\theta$,-0.2523002028465271,02629
292,23,$\theta$,0.3341171443462372,02654
293,24,$\theta$,0.09959617257118225,02656
294,25,$\theta$,-0.16588151454925537,02684
295,26,$\theta$,0.011846035718917847,02719
296,27,$\theta$,-0.9492116570472717,02747
297,28,$\theta$,-0.735287606716156,02750
298,29,$\theta$,-0.14226776361465454,02796
299,30,$\theta$,-0.0772177129983902,02797
300,31,$\theta$,-0.5139105319976807,02820
301,32,$\theta$,-0.37151435017585754,02916
302,33,$\theta$,-0.4770364761352539,02935
303,34,$\theta$,0.03257916867733002,02948
304,35,$\theta$,-1.1593585014343262,02965
305,36,$\theta$,-0.8920924067497253,03016
306,37,$\theta$,-0.043217733502388,03028
307,38,$\theta$,-0.5687012672424316,03029
308,39,$\theta$,-0.09433059394359589,03092
309,40,$\theta$,-0.007315605878829956,03257
310,41,$\theta$,-0.20535562932491302,03262
311,42,$\theta$,-0.37071335315704346,03362
312,43,$\theta$,-0.30445802211761475,03379
313,44,$\theta$,0.506666362285614,03435
314,45,$\theta$,-0.5578346252441406,12647
315,1,$\theta$,-0.3631523847579956,00792
316,2,$\theta$,-0.4639551341533661,00882
317,3,$\theta$,-0.07713396847248077,01291
318,4,$\theta$,-0.41195082664489746,01366
319,5,$\theta$,-0.3474642336368561,01469
320,6,$\theta$,-1.3243303298950195,01482
321,7,$\theta$,-0.3266274333000183,01526
322,8,$\theta$,-0.7876764535903931,01664
323,9,$\theta$,-0.2126697599887848,01758
324,10,$\theta$,-0.26844286918640137,01805
325,11,$\theta$,0.48594170808792114,01807
326,12,$\theta$,-0.7297989726066589,01841
327,13,$\theta$,-0.02977752685546875,01876
328,14,$\theta$,-0.16748158633708954,01878
329,15,$\theta$,-0.2543931305408478,02137
330,16,$\theta$,-0.7043063640594482,02366
331,17,$\theta$,-0.11212429404258728,02427
332,18,$\theta$,-0.9032799601554871,02559
333,19,$\theta$,-0.6328566074371338,02571
334,20,$\theta$,-0.19870513677597046,02625
335,21,$\theta$,0.028733044862747192,02628
336,22,$\theta$,-0.06569180637598038,02629
337,23,$\theta$,0.21749886870384216,02654
338,24,$\theta$,-0.054858602583408356,02656
339,25,$\theta$,-0.45340198278427124,02684
340,26,$\theta$,-0.6184478998184204,02719
341,27,$\theta$,-1.0291098356246948,02747
342,28,$\theta$,-0.696912944316864,02750
343,29,$\theta$,-0.2711833119392395,02796
344,30,$\theta$,-0.28932303190231323,02797
345,31,$\theta$,-0.3111492395401001,02820
346,32,$\theta$,-0.6765073537826538,02916
347,33,$\theta$,-0.4072757065296173,02935
348,34,$\theta$,-0.013299643993377686,02948
349,35,$\theta$,-0.9398905038833618,02965
350,36,$\theta$,-0.743291437625885,03016
351,37,$\theta$,-0.2789672315120697,03028
352,38,$\theta$,-0.376038134098053,03029
353,39,$\theta$,-0.10959306359291077,03092
354,40,$\theta$,-0.3524235486984253,03257
355,41,$\theta$,-0.6168868541717529,03262
356,42,$\theta$,-0.6277135610580444,03362
357,43,$\theta$,-0.5084429979324341,03379
358,44,$\theta$,0.4043072760105133,03435
359,45,$\theta$,-0.7491028308868408,12647
360,1,$\theta$,-0.8084107041358948,00792
361,2,$\theta$,-0.7080649137496948,00882
362,3,$\theta$,-0.18976175785064697,01291
363,4,$\theta$,-0.2549164295196533,01366
364,5,$\theta$,-0.22478532791137695,01469
365,6,$\theta$,-1.0820392370224,01482
366,7,$\theta$,-0.5089197158813477,01526
367,8,$\theta$,-0.6920043230056763,01664
368,9,$\theta$,-0.2818141281604767,01758
369,10,$\theta$,-0.6048839092254639,01805
370,11,$\theta$,0.3512933552265167,01807
371,12,$\theta$,-1.1862094402313232,01841
372,13,$\theta$,-0.12565878033638,01876
373,14,$\theta$,-0.4283068776130676,01878
374,15,$\theta$,-0.4895048141479492,02137
375,16,$\theta$,-0.4976150393486023,02366
376,17,$\theta$,-0.06664905697107315,02427
377,18,$\theta$,-0.2336273491382599,02559
378,19,$\theta$,-0.5397610068321228,02571
379,20,$\theta$,0.02725641429424286,02625
380,21,$\theta$,-0.20543789863586426,02628
381,22,$\theta$,0.0021240264177322388,02629
382,23,$\theta$,0.03283049911260605,02654
383,24,$\theta$,-0.17311915755271912,02656
384,25,$\theta$,-0.1808050274848938,02684
385,26,$\theta$,-0.19981831312179565,02719
386,27,$\theta$,-0.9636479616165161,02747
387,28,$\theta$,-0.6477152705192566,02750
388,29,$\theta$,-0.18239127099514008,02796
389,30,$\theta$,-0.28310519456863403,02797
390,31,$\theta$,-0.42280155420303345,02820
391,32,$\theta$,-0.526576817035675,02916
392,33,$\theta$,-0.1751585453748703,02935
393,34,$\theta$,-0.27326250076293945,02948
394,35,$\theta$,-0.9263595938682556,02965
