,$\tilde{\beta}$,$\theta$
0,4.094935894012451,7.120365619659424
1,4.101272106170654,7.018607139587402
2,3.0124573707580566,3.6392812728881836
3,3.565284013748169,5.848540782928467
4,3.9954025745391846,5.952652931213379
5,3.682436227798462,6.605375289916992
6,3.9193966388702393,6.4214959144592285
7,3.122267007827759,7.49346923828125
8,3.720830202102661,6.26986837387085
9,4.872738361358643,6.113837242126465
10,2.2479934692382812,7.344712257385254
11,3.663179874420166,5.907317638397217
12,4.913752555847168,4.190086364746094
13,5.7569169998168945,3.9097626209259033
14,3.813129425048828,7.704779148101807
15,3.658231258392334,8.316888809204102
16,2.806807041168213,5.883913993835449
17,3.567352294921875,7.443366527557373
18,3.7316958904266357,6.238489151000977
19,3.8151021003723145,4.328417778015137
20,5.553335666656494,5.667511463165283
21,4.629152297973633,4.532510757446289
22,2.950320243835449,6.62391471862793
23,4.859993934631348,6.698352336883545
24,4.251672744750977,5.262303829193115
25,4.965277194976807,5.222630500793457
26,4.593096733093262,6.950036525726318
27,3.7725908756256104,4.952853679656982
28,4.063831806182861,3.6144561767578125
29,4.5002899169921875,4.346790790557861
30,3.805745840072632,6.298922061920166
31,3.085585117340088,7.1014723777771
32,2.8099796772003174,5.834721088409424
33,5.050220966339111,5.905433177947998
34,3.9431028366088867,5.553893566131592
35,4.655548572540283,3.9323320388793945
36,4.488718509674072,4.878176212310791
37,4.8655924797058105,6.558715343475342
38,3.832850217819214,5.10825252532959
39,5.157080173492432,6.674603462219238
40,3.2934458255767822,9.816192626953125
41,3.5794637203216553,5.45476770401001
42,3.1725518703460693,8.700594902038574
43,4.259988784790039,4.1729631423950195
44,4.134753227233887,4.4703049659729
45,3.4751152992248535,6.556605339050293
46,2.5608065128326416,7.147902965545654
47,3.562727928161621,5.173819065093994
48,4.886298656463623,6.365012168884277
49,3.7656750679016113,3.750964879989624
50,4.2571797370910645,4.363427639007568
51,4.80967378616333,6.373536586761475
52,3.7355005741119385,5.397156715393066
53,2.766663074493408,4.953322410583496
54,3.9974365234375,7.448822021484375
55,3.4891881942749023,7.07427453994751
56,4.032089710235596,5.543314456939697
57,4.566527843475342,5.296935081481934
58,4.364983081817627,8.121147155761719
59,4.374856948852539,5.931038856506348
60,4.088638782501221,7.425390243530273
61,4.38279914855957,5.481072902679443
62,5.126796245574951,6.030078887939453
63,5.3608245849609375,5.718072891235352
64,4.808344841003418,6.678250312805176
65,4.078085422515869,5.546335697174072
66,5.161105632781982,7.360326766967773
67,3.2751543521881104,4.731217861175537
68,4.224618434906006,5.975271224975586
69,3.6088054180145264,7.409806251525879
70,4.582281589508057,5.552745819091797
71,3.4641895294189453,6.714981555938721
72,3.2447667121887207,5.471835613250732
73,3.731025218963623,4.741486549377441
74,4.455705165863037,4.839766025543213
75,5.008844375610352,6.7711687088012695
76,3.9487318992614746,4.657744884490967
77,3.4558639526367188,4.819352149963379
78,3.4222488403320312,4.141565322875977
79,3.537726402282715,6.706824779510498
80,3.8072032928466797,4.874501705169678
81,2.7141361236572266,6.784428596496582
82,4.425740718841553,6.74202823638916
83,3.5073039531707764,6.579089641571045
84,4.035646438598633,5.5562028884887695
85,3.373079299926758,5.326684474945068
86,3.473210573196411,6.253515243530273
87,3.0578134059906006,5.435932636260986
88,4.166075229644775,4.681371212005615
89,5.1880950927734375,5.9283671379089355
90,4.0466766357421875,5.545921802520752
91,3.9884495735168457,6.575903415679932
92,3.7923409938812256,5.334684371948242
93,3.5987677574157715,5.737979412078857
94,3.806905508041382,6.409151077270508
95,6.075089454650879,6.9890642166137695
96,4.459096908569336,5.359802722930908
97,4.186543941497803,5.885417938232422
98,3.507629632949829,6.2851762771606445
99,4.5029473304748535,6.544436931610107
100,3.78283429145813,5.002678394317627
101,3.577298879623413,7.425423622131348
102,3.4110958576202393,4.035486221313477
103,4.593472957611084,6.525424003601074
104,3.8768303394317627,3.96653151512146
105,3.0027451515197754,5.3263139724731445
106,5.328871250152588,4.943325519561768
107,3.156115770339966,8.431849479675293
108,4.07364559173584,5.258028030395508
109,3.4071168899536133,8.441971778869629
110,5.4368157386779785,8.520744323730469
111,4.922245502471924,5.307002067565918
112,3.4525985717773438,6.418285369873047
