,$\tilde{\beta}$,$\theta$,$k$
0,0.7574988007545471,-0.45922619104385376,-3.948888063430786
1,0.7355687022209167,-0.39089784026145935,-4.130270481109619
2,0.7526497840881348,-0.4251079857349396,-4.24415397644043
3,0.7805495262145996,-0.4025847315788269,-4.225735664367676
4,0.6904151439666748,-0.3352443277835846,-3.823668956756592
5,0.7276026606559753,-0.4470686912536621,-4.128166198730469
6,0.743044912815094,-0.4560903310775757,-4.009482383728027
7,0.7431391477584839,-0.33470097184181213,-4.01969575881958
8,0.770596444606781,-0.3487101197242737,-3.992368698120117
9,0.6758177876472473,-0.4334276616573334,-4.189164638519287
10,0.6944096684455872,-0.3378172814846039,-4.296130657196045
11,0.7354983687400818,-0.3872411549091339,-3.9151670932769775
12,0.7200371026992798,-0.40823644399642944,-4.06768798828125
13,0.7192994952201843,-0.4593929052352905,-4.037191867828369
14,0.7193464040756226,-0.36322954297065735,-3.9527697563171387
15,0.6804057359695435,-0.4175838232040405,-4.249858379364014
16,0.6564600467681885,-0.34816181659698486,-4.142868518829346
17,0.7136225700378418,-0.4691816568374634,-4.366104602813721
18,0.7094050049781799,-0.3102121353149414,-4.394724369049072
19,0.7616204619407654,-0.37622004747390747,-3.9072563648223877
20,0.7015817761421204,-0.47712963819503784,-4.314029693603516
21,0.7467930316925049,-0.43674933910369873,-4.086431980133057
22,0.7178510427474976,-0.3956664204597473,-4.18407678604126
23,0.6973509788513184,-0.4066316485404968,-4.2007317543029785
24,0.7311394810676575,-0.394925057888031,-4.147410869598389
25,0.7057315111160278,-0.41958627104759216,-4.175516128540039
26,0.7629468441009521,-0.43903207778930664,-3.992017984390259
27,0.7531154155731201,-0.3889830708503723,-3.918571710586548
28,0.692736029624939,-0.4760194420814514,-4.5340256690979
29,0.7222461700439453,-0.3610744774341583,-4.464280605316162
30,0.7466065287590027,-0.4205116331577301,-4.042701244354248
31,0.6537268161773682,-0.35685017704963684,-4.132993698120117
32,0.7047514319419861,-0.37590286135673523,-4.215909481048584
33,0.7356798648834229,-0.3848549425601959,-4.060523509979248
34,0.6598318815231323,-0.3336621820926666,-4.057403087615967
35,0.7335245013237,-0.3486618995666504,-4.131464958190918
36,0.6697337627410889,-0.3346361517906189,-3.9467148780822754
37,0.7541939616203308,-0.4613947570323944,-4.164038181304932
38,0.6957659721374512,-0.36296725273132324,-4.02160120010376
39,0.7408894896507263,-0.39613449573516846,-4.066595077514648
40,0.6946238279342651,-0.4221268892288208,-4.1605610847473145
41,0.7254800200462341,-0.42142820358276367,-4.001445770263672
42,0.7167933583259583,-0.41487008333206177,-4.131704330444336
43,0.7620753645896912,-0.4873390793800354,-4.115667819976807
44,0.6944390535354614,-0.3523424565792084,-4.038123607635498
45,0.7482649087905884,-0.4083932936191559,-3.9196014404296875
46,0.6790832281112671,-0.39914417266845703,-3.895350694656372
47,0.7494234442710876,-0.3807319104671478,-3.84521746635437
48,0.6559867858886719,-0.4065175950527191,-4.02833890914917
49,0.755573034286499,-0.34001022577285767,-4.320061683654785
50,0.7233260869979858,-0.3486388921737671,-4.08295202255249
51,0.7462043166160583,-0.30661457777023315,-4.065316677093506
52,0.6843860745429993,-0.47582101821899414,-4.163858413696289
53,0.7223748564720154,-0.4296325445175171,-4.391860485076904
54,0.6507139205932617,-0.3711146414279938,-4.159473419189453
55,0.7828100919723511,-0.45642510056495667,-3.725391149520874
56,0.6690558195114136,-0.3935692310333252,-4.1011199951171875
57,0.7735346555709839,-0.42144161462783813,-4.027774333953857
58,0.686316967010498,-0.476876437664032,-4.2093963623046875
59,0.7431992292404175,-0.3938339948654175,-4.416813850402832
60,0.6372168064117432,-0.3688892424106598,-4.199697017669678
61,0.710225522518158,-0.39605265855789185,-4.10493803024292
62,0.665205180644989,-0.3730916380882263,-4.053849220275879
63,0.7337560653686523,-0.42889130115509033,-3.98669171333313
64,0.7087262868881226,-0.3334636688232422,-4.1057891845703125
65,0.6195849180221558,-0.3766745924949646,-4.188248157501221
66,0.6436712741851807,-0.35815805196762085,-4.149834156036377
67,0.7147215008735657,-0.372738778591156,-4.093845367431641
68,0.6917749047279358,-0.47132307291030884,-4.0002923011779785
69,0.794605553150177,-0.438193142414093,-4.2215375900268555
70,0.7717226147651672,-0.4135797321796417,-3.8795766830444336
71,0.6486841440200806,-0.3270009458065033,-4.183557033538818
72,0.7175146341323853,-0.42786088585853577,-4.180920600891113
73,0.7284404635429382,-0.4136906564235687,-3.9646897315979004
74,0.72955721616745,-0.38837411999702454,-4.022528648376465
75,0.797332763671875,-0.36737337708473206,-3.983475685119629
76,0.7206279039382935,-0.36219552159309387,-4.215641498565674
77,0.7146111130714417,-0.3571658134460449,-4.422865390777588
78,0.7720840573310852,-0.42645883560180664,-3.959902286529541
79,0.7377318739891052,-0.41253116726875305,-4.501779556274414
80,0.7074616551399231,-0.36178818345069885,-4.19460916519165
81,0.6360605359077454,-0.38402342796325684,-4.232933521270752
82,0.6932006478309631,-0.45020902156829834,-3.9683094024658203
83,0.6209272146224976,-0.4204709529876709,-4.188691139221191
84,0.764050304889679,-0.3490980565547943,-4.067345142364502
85,0.7211899161338806,-0.4705328345298767,-4.117144584655762
86,0.7311761379241943,-0.42505696415901184,-4.392745494842529
87,0.6980282068252563,-0.2838575839996338,-4.147942543029785
88,0.7004621624946594,-0.34036314487457275,-4.229147911071777
89,0.6879526972770691,-0.4039737582206726,-4.158766269683838
90,0.7107652425765991,-0.43318358063697815,-4.368783473968506
91,0.7153294682502747,-0.4126112759113312,-4.163022994995117
92,0.7432944774627686,-0.37650954723358154,-4.305229187011719
93,0.7730399966239929,-0.35536038875579834,-4.018655776977539
94,0.7414597868919373,-0.3689515292644501,-4.407958984375
95,0.7519955635070801,-0.41370001435279846,-4.361739158630371
96,0.7132848501205444,-0.4256742596626282,-4.051084041595459
97,0.7408695816993713,-0.39561814069747925,-3.89560866355896
98,0.6756757497787476,-0.3862173557281494,-4.085597991943359
99,0.7172288298606873,-0.4961196482181549,-3.898899793624878
100,0.6731637120246887,-0.3862800896167755,-3.9188356399536133
101,0.685038685798645,-0.40758562088012695,-4.178386211395264
102,0.6729425191879272,-0.44886401295661926,-4.227115631103516
103,0.7174394130706787,-0.39945849776268005,-4.1580610275268555
104,0.6934951543807983,-0.3646210730075836,-4.2925238609313965
105,0.642961323261261,-0.3508962392807007,-4.396145343780518
106,0.7494388222694397,-0.36318013072013855,-4.1689677238464355
107,0.7552690505981445,-0.29357898235321045,-4.344046592712402
108,0.6968867778778076,-0.3641226887702942,-3.917551040649414
109,0.6588565111160278,-0.278119832277298,-4.022054195404053
110,0.7616889476776123,-0.4984477460384369,-4.243339538574219
111,0.6767696738243103,-0.5037116408348083,-4.157259464263916
112,0.7352116107940674,-0.38530007004737854,-4.229523658752441
113,0.7588225603103638,-0.35813912749290466,-4.270030498504639
114,0.7559419274330139,-0.36197033524513245,-4.030083179473877
115,0.7331082224845886,-0.40650248527526855,-4.132625579833984
116,0.7455851435661316,-0.3492439389228821,-4.149653911590576
117,0.6847008466720581,-0.3826519846916199,-4.185074329376221
118,0.7414724230766296,-0.3909757733345032,-4.131733417510986
119,0.6607704758644104,-0.4138767123222351,-4.172401428222656
120,0.7724642157554626,-0.3616529703140259,-4.208298206329346
121,0.7291845083236694,-0.3822495639324188,-3.9550974369049072
122,0.687045693397522,-0.43479886651039124,-3.963454246520996
123,0.7663843631744385,-0.38617610931396484,-4.229358196258545
124,0.7542276382446289,-0.3661104142665863,-4.043740749359131
125,0.7772534489631653,-0.42640554904937744,-4.062915325164795
126,0.6279797554016113,-0.4394022524356842,-4.167822360992432
127,0.6887157559394836,-0.4690660536289215,-4.060917854309082
128,0.724509060382843,-0.4596509337425232,-4.200814247131348
129,0.7312399744987488,-0.37432408332824707,-3.958508014678955
130,0.7120751142501831,-0.48520392179489136,-4.208401203155518
131,0.7326026558876038,-0.4671735465526581,-4.099233150482178
132,0.7318651080131531,-0.4412379562854767,-4.050917148590088
133,0.77408766746521,-0.3547273874282837,-4.351943492889404
134,0.6773124933242798,-0.49948057532310486,-4.258899688720703
135,0.723136842250824,-0.3665354549884796,-4.033788204193115
136,0.7388163805007935,-0.4380168318748474,-3.963735818862915
137,0.7666535377502441,-0.4526708126068115,-4.419753551483154
138,0.7330393195152283,-0.3398246467113495,-4.370144844055176
139,0.7044018507003784,-0.48860305547714233,-4.023061275482178
140,0.7141951322555542,-0.3739699721336365,-4.0917744636535645
141,0.6405807137489319,-0.36522191762924194,-4.385141372680664
142,0.6923421025276184,-0.37613725662231445,-4.099038124084473
143,0.7248845100402832,-0.38402649760246277,-4.100885391235352
144,0.7507044076919556,-0.3302804231643677,-4.0686798095703125
145,0.7500544786453247,-0.39717206358909607,-4.052131652832031
146,0.7196763753890991,-0.42971593141555786,-4.234272480010986
147,0.7086217403411865,-0.4267195165157318,-4.085150241851807
148,0.7483386397361755,-0.41108256578445435,-3.8474197387695312
149,0.7250367999076843,-0.4961642324924469,-4.0479841232299805
150,0.7315334677696228,-0.404315710067749,-3.9017956256866455
151,0.6807745099067688,-0.30172157287597656,-4.182109355926514
152,0.7357354164123535,-0.3868960440158844,-4.267731189727783
153,0.7789507508277893,-0.47065675258636475,-4.114157199859619
154,0.6916422843933105,-0.48770037293434143,-4.095853805541992
155,0.6720007061958313,-0.36413905024528503,-4.273399353027344
156,0.7124543786048889,-0.38892683386802673,-4.101534366607666
157,0.6394302248954773,-0.45700350403785706,-3.8713252544403076
158,0.6607286930084229,-0.37493959069252014,-4.155836582183838
159,0.7780529260635376,-0.4299798309803009,-4.09525728225708
160,0.6898754239082336,-0.40150362253189087,-4.2668938636779785
161,0.739972710609436,-0.37312233448028564,-3.9560024738311768
162,0.7074828743934631,-0.3935473561286926,-4.188760757446289
163,0.6721272468566895,-0.43979042768478394,-4.010748386383057
164,0.6511307954788208,-0.37812408804893494,-4.056333065032959
165,0.6986247301101685,-0.36640915274620056,-4.141663074493408
166,0.6892956495285034,-0.38312429189682007,-4.034667491912842
167,0.7131447792053223,-0.3858872950077057,-4.243021011352539
168,0.6827211976051331,-0.3864971697330475,-4.354656219482422
169,0.6682090163230896,-0.33918967843055725,-4.230965614318848
170,0.775253176689148,-0.39910462498664856,-4.0398736000061035
171,0.7568352818489075,-0.32026204466819763,-4.140483379364014
172,0.6606908440589905,-0.3324996829032898,-4.06314754486084
173,0.7846983075141907,-0.3316388726234436,-4.048653602600098
174,0.7302881479263306,-0.4013170003890991,-4.236080646514893
175,0.7386805415153503,-0.4183640778064728,-3.896925687789917
176,0.7158820033073425,-0.39987218379974365,-4.112991809844971
177,0.780115008354187,-0.4102990925312042,-3.958848476409912
178,0.7406347990036011,-0.3934730887413025,-4.229767799377441
179,0.7670129537582397,-0.4003886282444,-4.174899101257324
180,0.7894022464752197,-0.5029541850090027,-4.264239311218262
181,0.7644796967506409,-0.3992319107055664,-4.232480049133301
182,0.777737557888031,-0.3665443956851959,-3.984346628189087
183,0.68569415807724,-0.44227758049964905,-4.189042091369629
184,0.8393084406852722,-0.42909756302833557,-4.018242835998535
185,0.801082193851471,-0.3239077627658844,-4.159042835235596
186,0.7275972962379456,-0.2920290529727936,-4.138690948486328
187,0.7448969483375549,-0.4014163613319397,-3.9918601512908936
188,0.7521427869796753,-0.3397614657878876,-3.9292783737182617
189,0.6951753497123718,-0.41932976245880127,-3.8196747303009033
190,0.7938951253890991,-0.4322013854980469,-4.240419387817383
191,0.666228175163269,-0.34823286533355713,-4.023262977600098
192,0.733004629611969,-0.484987735748291,-4.128645896911621
193,0.718804121017456,-0.38056421279907227,-4.309910774230957
194,0.7013928294181824,-0.4252791702747345,-4.07476806640625
195,0.7155856490135193,-0.4533233940601349,-4.178447723388672
196,0.7383741736412048,-0.4166189134120941,-3.9527595043182373
197,0.7418679594993591,-0.34785276651382446,-3.9888508319854736
198,0.7241301536560059,-0.3648858070373535,-4.168441295623779
199,0.7339946627616882,-0.4135378897190094,-3.888806104660034
